Data Format: ,,,,,,,,,,
93,10/28/2018 17:20,11.03,78.9,7.52,312,1,3,1004,4,4.51
94,10/28/2018 17:25,10.96,79,7.47,279,0.8,3,1003.9,2,4.5
95,10/28/2018 17:30,10.93,79,7.44,302,1,3,1004,1,4.5
96,10/28/2018 17:35,10.91,79,7.42,303,0.8,3,1004,1,4.49
97,10/28/2018 17:40,10.91,79,7.42,292,0.8,3,1004,1,4.49
98,10/28/2018 17:45,10.93,79,7.44,292,0.3,1.8,1004.1,1,4.48
99,10/28/2018 17:50,10.91,79,7.42,265,0.3,2.5,1004,1,4.48
100,10/28/2018 17:55,10.93,79,7.44,275,0.3,1.8,1004.2,1,4.48
101,10/28/2018 18:00,10.91,79,7.42,281,0.5,2.8,1004.2,1,4.43
102,10/28/2018 18:05,10.83,79,7.35,300,0.5,2.3,1004,1,4.43
103,10/28/2018 18:10,10.76,79.2,7.31,312,0.5,3,1004.2,1,4.43
104,10/28/2018 18:15,10.76,79.4,7.35,309,1,3,1004.3,1,4.43
105,10/28/2018 18:20,10.86,79.6,7.48,299,1,3.8,1004.3,1,4.43
106,10/28/2018 18:25,10.74,80.1,7.46,305,1.5,4,1004.5,1,4.42
107,10/28/2018 18:30,10.74,80.6,7.55,302,0.8,2.8,1004.4,1,4.42
108,10/28/2018 18:35,10.64,80.8,7.49,307,0.5,2.3,1004.6,1,4.42
109,10/28/2018 18:40,10.57,79.9,7.25,310,1.5,4,1004.6,1,4.42
110,10/28/2018 18:45,10.44,79.8,7.12,303,1.3,3.8,1004.5,1,4.42
111,10/28/2018 18:50,10.39,79.4,6.99,305,1.3,3,1004.7,1,4.42
112,10/28/2018 18:55,10.42,79.5,7.04,307,1.3,3,1004.7,1,4.41
113,10/28/2018 19:00,10.42,79.4,7.02,306,1,3,1004.7,1,4.36
114,10/28/2018 19:05,10.34,79.1,6.89,313,1.3,3.8,1004.9,1,4.36
115,10/28/2018 19:10,10.34,79,6.87,307,1.5,3.8,1004.9,1,4.36
116,10/28/2018 19:15,10.34,79.1,6.89,309,0.3,1.8,1004.9,1,4.36
117,10/28/2018 19:20,10.25,79.2,6.81,306,1,3.3,1005,1,4.36
118,10/28/2018 19:25,10.22,79.6,6.86,302,1,3.5,1005.1,1,4.36
119,10/28/2018 19:30,10.25,79.9,6.94,312,1,3,1005,1,4.36
120,10/28/2018 19:35,10.27,79.7,6.93,309,0.8,2.3,1005.1,1,4.36
121,10/28/2018 19:40,10.32,79.5,6.94,295,0.5,3,1005.2,1,4.35
122,10/28/2018 19:45,10.34,79.6,6.98,267,0,1.8,1005.3,1,4.35
123,10/28/2018 19:50,10.32,79.8,7,277,0.3,1.8,1005.2,1,4.35
124,10/28/2018 19:55,10.2,79.7,6.86,291,0.5,2.3,1005.2,1,4.35
125,10/28/2018 20:00,10.17,79.6,6.82,327,0,2.3,1005.2,1,4.32
126,10/28/2018 20:05,10.2,79.4,6.8,293,0,1.5,1005.2,1,4.32
127,10/28/2018 20:10,10.25,78.9,6.76,265,0.5,2.3,1005.2,1,4.32
128,10/28/2018 20:15,10.2,78.9,6.71,279,0.3,1.8,1005.2,1,4.32
129,10/28/2018 20:20,10.2,78.9,6.71,277,0,1,1004.9,1,4.31
130,10/28/2018 20:25,10.08,78.8,6.57,260,0.5,2.5,1005.2,1,4.31
131,10/28/2018 20:30,10,78.9,6.52,260,0.8,3.3,1005,1,4.31
132,10/28/2018 20:35,10.03,78.8,6.53,275,0.5,2.5,1005.1,1,4.3
133,10/28/2018 20:40,10.05,78.5,6.49,263,0.5,3.3,1005,1,4.3
134,10/28/2018 20:45,10.03,78.2,6.41,251,0.8,3.5,1005,1,4.3
135,10/28/2018 20:50,10.05,78.4,6.48,244,0.3,2,1005.1,1,4.3
136,10/28/2018 20:55,9.98,78.5,6.42,272,0,1.8,1004.9,1,4.3
137,10/28/2018 21:00,9.88,78.5,6.33,240,0.3,1.8,1004.9,1,4.27
138,10/28/2018 21:05,9.85,78.5,6.3,268,0,1,1005,1,4.27
139,10/28/2018 21:10,9.85,78.2,6.25,258,0.3,2,1005,1,4.28
140,10/28/2018 21:15,9.83,77.8,6.15,281,0.5,2.3,1005.1,1,4.28
141,10/28/2018 21:20,9.85,77.3,6.08,275,0.5,2.8,1005.2,1,4.28
142,10/28/2018 21:25,9.83,76.4,5.89,257,0.8,3.3,1005.2,1,4.29
143,10/28/2018 21:30,9.93,75.1,5.73,257,0.3,2,1005.1,1,4.3
144,10/28/2018 21:35,10.05,73.2,5.48,261,0.5,2.5,1005.1,1,4.32
145,10/28/2018 21:40,10.08,72.2,5.31,268,0.5,4,1005.2,1,4.29
146,10/28/2018 21:45,10.1,71.9,5.27,256,0.8,2.8,1005.2,1,4.29
147,10/28/2018 21:50,10.05,72.6,5.36,253,1,3.3,1005.3,1,4.29
148,10/28/2018 21:55,9.98,73,5.37,241,0.8,3.5,1005.2,1,4.29
149,10/28/2018 22:00,9.98,73.6,5.49,258,0.8,2.5,1005.1,1,4.27
150,10/28/2018 22:05,9.9,74,5.5,250,0,1.3,1005.2,1,4.27
151,10/28/2018 22:10,9.83,74.6,5.54,247,0,1.5,1005,1,4.28
152,10/28/2018 22:15,9.78,74.9,5.55,237,0,1.3,1005,1,4.28
153,10/28/2018 22:20,9.8,75.2,5.63,253,0,1.3,1005.1,1,4.28
154,10/28/2018 22:25,9.88,75.3,5.72,263,0.3,1.5,1005.2,1,4.28
155,10/28/2018 22:30,9.8,75.4,5.67,241,0,1.8,1005.2,1,4.29
156,10/28/2018 22:35,9.8,75.4,5.67,227,0.5,2.8,1005.2,1,4.29
157,10/28/2018 22:40,9.8,75.6,5.71,246,0.5,2.3,1005,1,4.29
158,10/28/2018 22:45,9.8,75.5,5.69,240,0.8,2.8,1004.9,1,4.29
159,10/28/2018 22:50,9.78,75.4,5.65,225,0,1,1005,1,4.29
160,10/28/2018 22:55,9.78,75.7,5.71,247,0.3,1.5,1004.9,1,4.29
161,10/28/2018 23:00,9.73,75.5,5.62,204,0.3,2,1004.9,1,4.26
162,10/28/2018 23:05,9.73,75.5,5.62,223,0,1,1004.9,1,4.27
163,10/28/2018 23:10,9.71,75.8,5.65,229,0.3,1.5,1004.9,1,4.27
164,10/28/2018 23:15,9.68,76,5.67,223,0.8,2.3,1005,1,4.28
165,10/28/2018 23:20,9.66,76.7,5.78,212,0.5,2,1004.9,1,4.28
166,10/28/2018 23:25,9.56,76.7,5.68,239,0.5,2,1004.8,1,4.28
167,10/28/2018 23:30,9.56,77,5.74,234,0.5,2,1005,1,4.28
168,10/28/2018 23:35,9.63,77.1,5.83,241,0.5,2.5,1005,1,4.28
169,10/28/2018 23:40,9.58,77.2,5.8,229,0.5,2.5,1005,1,4.28
170,10/28/2018 23:45,9.61,77.3,5.84,241,0.3,1.5,1005,1,4.29
171,10/28/2018 23:50,9.58,77.2,5.8,247,0,1,1005.1,1,4.29
172,10/28/2018 23:55,9.56,77.4,5.81,240,0,1,1004.9,1,4.29
173,10/29/2018 0:00,9.53,77.4,5.79,215,0.5,2.5,1004.9,1,4.25
174,10/29/2018 0:05,9.53,77.4,5.79,234,0.3,2,1004.9,1,4.27
175,10/29/2018 0:10,9.53,77.2,5.75,222,0.3,1.3,1004.9,1,4.27
176,10/29/2018 0:15,9.46,77.3,5.7,236,0.5,2,1004.8,1,4.27
177,10/29/2018 0:20,9.31,77.6,5.61,227,0,1,1004.9,1,4.27
178,10/29/2018 0:25,9.21,78.1,5.61,222,0,0.5,1004.7,1,4.28
179,10/29/2018 0:30,9.04,78.3,5.47,220,0,0.3,1004.7,1,4.28
180,10/29/2018 0:35,9.11,78.7,5.62,229,0.3,1.8,1004.9,1,4.28
181,10/29/2018 0:40,8.99,78.8,5.52,213,0.3,1.5,1004.9,1,4.28
182,10/29/2018 0:45,8.92,79.4,5.55,219,0.5,2.3,1005,1,4.28
183,10/29/2018 0:50,8.79,79.9,5.52,216,0.5,2,1005,1,4.28
184,10/29/2018 0:55,8.72,80.2,5.51,233,0.5,2,1004.9,1,4.28
185,10/29/2018 1:00,8.74,80.4,5.57,234,0,1.5,1004.9,1,4.25
186,10/29/2018 1:05,8.74,80.5,5.58,222,0,1,1004.6,1,4.27
187,10/29/2018 1:10,8.79,80.4,5.61,213,0.3,2,1004.5,1,4.27
188,10/29/2018 1:15,8.82,80.2,5.6,218,0.3,1.8,1004.6,1,4.27
189,10/29/2018 1:20,8.89,79.8,5.6,218,0.5,2,1004.6,1,4.27
190,10/29/2018 1:25,8.89,79.6,5.57,211,0.5,2.5,1004.3,1,4.27
191,10/29/2018 1:30,8.99,79.4,5.63,218,1,2.8,1004.6,1,4.27
192,10/29/2018 1:35,8.97,79.3,5.58,209,1,2.5,1004.6,1,4.27
193,10/29/2018 1:40,8.87,79.6,5.54,215,0.3,1.8,1004.7,1,4.28
194,10/29/2018 1:45,8.82,79.6,5.49,227,0.5,2,1004.8,1,4.28
195,10/29/2018 1:50,8.79,79.9,5.52,219,0.8,2.3,1004.9,1,4.28
196,10/29/2018 1:55,8.87,79.8,5.58,205,0.5,2,1004.9,1,4.28
197,10/29/2018 2:00,8.94,79.6,5.61,213,0.8,3.3,1005.1,1,4.24
198,10/29/2018 2:05,8.92,79.6,5.59,201,0.3,1.8,1005.2,1,4.25
199,10/29/2018 2:10,8.99,79.6,5.66,212,1.3,3.5,1005.2,1,4.25
200,10/29/2018 2:15,8.84,79.8,5.55,233,1.3,3,1004.9,1,4.26
201,10/29/2018 2:20,8.87,80.1,5.63,211,0.5,2.5,1004.8,1,4.27
202,10/29/2018 2:25,8.89,80.2,5.67,209,0.3,2,1005,1,4.27
203,10/29/2018 2:30,8.97,79.9,5.69,220,1.3,3.3,1004.9,1,4.27
204,10/29/2018 2:35,8.99,79.8,5.7,212,0.3,1.8,1004.8,1,4.27
205,10/29/2018 2:40,8.99,79.9,5.72,205,0,1,1004.8,1,4.27
206,10/29/2018 2:45,8.97,79.9,5.69,192,0,0.3,1004.7,1,4.27
207,10/29/2018 2:50,8.99,79.9,5.72,219,0.3,1.8,1004.9,1,4.27
